gender,Partner,Dependents,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,SeniorCitizen,PC1,PC2,Churn
1,1,1,1,2,1,2,2,2,2,0,0,2,0,1,0,2.573121838785093,-0.25707557188261004,0
1,0,0,0,1,0,0,0,2,2,0,0,0,0,2,0,-0.8703487622851506,-0.8659475702807999,0
0,1,0,1,2,1,0,2,2,2,0,0,2,0,1,0,2.6444769575551,-0.46097433790059356,0
1,0,0,1,0,1,0,2,0,0,0,2,0,0,2,0,-0.9024879138913926,1.1021382619543059,0
0,1,0,0,1,0,2,0,0,0,2,0,0,0,0,0,0.0939970590656866,-1.2922397860260062,0
0,1,0,1,0,1,2,2,2,0,0,2,1,0,0,1,2.695335559665419,-0.17754949934342032,0
1,0,0,1,0,0,0,0,2,2,2,0,0,0,0,0,-1.0585792181037412,0.42114714996470165,0
1,0,0,1,0,1,0,2,0,0,2,2,0,1,3,0,0.2946704962344304,0.8474720019280816,0
1,1,1,1,0,0,0,0,2,2,0,0,0,0,3,0,-0.2597298139941722,-0.4656146464886851,0
0,0,0,0,1,0,0,0,2,0,2,2,0,1,2,0,-1.3870062813990756,-0.025117284082571693,1
1,0,1,1,0,2,1,1,1,1,1,1,0,1,3,0,-2.0559142188678194,-0.7341971809907752,0
0,0,0,1,2,1,2,0,0,0,0,0,0,1,2,0,-0.8514361402869821,0.8728979272051347,1
0,0,0,1,2,1,2,0,0,0,0,0,0,1,2,0,-0.5185840286206519,0.7342852263822475,0
0,1,0,1,2,1,0,0,2,2,2,2,0,1,2,0,2.8687174037289305,0.14939523185128295,0
0,0,0,1,0,2,1,1,1,1,1,1,2,1,0,0,-0.7835322318838827,-1.7119999501959688,0
0,0,0,0,1,0,0,0,2,0,2,0,0,1,2,1,-0.6534081343743563,-0.8313671566487847,1
1,0,0,1,0,0,0,2,0,2,0,0,1,1,1,0,-0.6071339853596376,-0.21807446360092458,1
0,1,1,1,2,2,1,1,1,1,1,1,2,0,3,0,-0.36244664810045946,-1.8384467714927075,0
0,0,0,1,0,0,0,0,0,0,0,2,0,1,2,0,-1.4537046720194429,0.34044176980773594,1
0,0,0,1,2,1,0,2,0,2,0,2,1,0,2,0,2.192262081513036,-0.044852692354508554,0
0,1,0,0,1,0,0,2,2,0,2,2,2,1,2,0,1.4466718577711573,-1.5009475665033831,1
0,0,0,1,0,1,0,2,2,2,2,2,0,1,0,0,1.6193808045655889,0.609137493497129,0
0,1,1,1,0,2,1,1,1,1,1,1,0,0,3,0,-1.624487899763639,-1.0470770857827099,0
1,1,1,1,0,1,2,2,0,0,0,0,0,0,2,0,2.044632478049434,-0.587546778654579,0
1,1,1,1,0,1,0,2,0,0,2,0,1,1,0,1,1.3470334080256121,-0.03989464483893642,0
