gender,Partner,Dependents,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,SeniorCitizen,PC1,PC2,Churn
1,1,1,1,2,1,2,2,2,2,0,0,2,0,1,0,2.3303396111142844,-0.1270920406265592,0
1,0,0,0,1,0,0,0,2,2,0,0,0,0,2,0,-0.9978731626443942,-0.5727553802481625,0
0,1,0,1,2,1,0,2,2,2,0,0,2,0,1,0,2.393346915939944,-0.3217183752267524,0
1,0,0,1,0,1,0,2,0,0,0,2,0,0,2,0,-0.9752063089254046,1.295232516417896,0
0,1,0,0,1,0,2,0,0,0,2,0,0,0,0,0,-0.08087598803338913,-1.0411060109325327,0
0,1,0,1,0,1,2,2,2,0,0,2,1,0,0,1,2.449652876472647,-0.04744120692450501,0
1,0,0,1,0,0,0,0,2,2,2,0,0,0,0,0,-1.14424738466898,0.6642078633370718,0
1,0,0,1,0,1,0,2,0,0,2,2,0,1,3,0,0.16920743142857864,1.0073542506553894,0
1,1,1,1,0,0,0,0,2,2,0,0,0,0,3,0,-0.3994108419321243,-0.2238524980933961,0
0,0,0,0,1,0,0,0,2,0,2,2,0,1,2,0,-1.4726381238764128,0.262458936273875,1
1,0,1,1,0,2,1,1,1,1,1,1,0,1,3,0,-2.136183216095089,-0.3627696036248578,0
0,0,0,1,2,1,2,0,0,0,0,0,0,1,2,0,-0.9324192736389565,1.0774477364947836,1
0,0,0,1,2,1,2,0,0,0,0,0,0,1,2,0,-0.6160914216315706,0.933404011311133,0
0,1,0,1,2,1,0,0,2,2,2,2,0,1,2,0,2.624945221546145,0.2641324001258932,0
0,0,0,1,0,2,1,1,1,1,1,1,2,1,0,0,-0.9360328768348675,-1.410329763209741,0
0,0,0,0,1,0,0,0,2,0,2,0,0,1,2,1,-0.7879598111008661,-0.5560218576328281,1
1,0,0,1,0,0,0,2,0,2,0,0,1,1,1,0,-0.7271180536450965,0.03212087899222012,1
0,1,1,1,2,2,1,1,1,1,1,1,2,0,3,0,-0.5340777598141094,-1.5563604877447033,0
0,0,0,1,0,0,0,0,0,0,0,2,0,1,2,0,-1.526813011506513,0.6113212373285464,1
0,0,0,1,2,1,0,2,0,2,0,2,1,0,2,0,1.969730268814841,0.09127357723229183,0
0,1,0,0,1,0,0,2,2,0,2,2,2,1,2,0,1.2149018012547363,-1.304025482162056,1
0,0,0,1,0,1,0,2,2,2,2,2,0,1,0,0,1.4366184368202608,0.7327522615295153,0
0,1,1,1,0,2,1,1,1,1,1,1,0,0,3,0,-1.7287464485744577,-0.7001239030118729,0
1,1,1,1,0,1,2,2,0,0,0,0,0,0,2,0,1.8135965794488775,-0.4320422146671083,0
1,1,1,1,0,1,0,2,0,0,2,0,1,1,0,1,1.157297864214477,0.12139009084107533,0
0,1,1,0,1,0,0,0,0,2,0,0,0,0,0,0,-1.9464759014262134,-0.12895960579519095,0
1,0,0,1,0,2,1,1,1,1,1,1,0,0,3,0,-2.1197359771048436,-0.33647835285688454,0
1,0,0,1,0,0,2,0,0,0,0,0,0,1,3,0,-1.6180951879023724,0.46540479556629566,0
0,1,1,1,2,1,2,2,2,2,2,2,2,1,0,0,3.4255366077546237,0.1290723429025794,0
0,1,1,1,2,1,2,0,0,0,2,0,0,0,2,0,0.5596554639630609,0.645067635209022,0
0,1,0,1,2,1,0,0,0,0,0,0,0,1,2,1,-1.2274732618840547,1.0898220013056572,1
0,1,0,0,1,0,2,2,2,2,0,0,2,1,0,0,0.9217083716530454,-1.4377984758646525,0
1,1,1,1,0,1,2,0,0,0,0,0,0,0,3,0,-0.5787592948381034,0.7314275449321833,0
1,1,0,1,2,1,0,0,0,0,2,2,1,1,1,0,1.482047740594458,0.3763569264199646,0
1,1,1,1,2,1,0,2,0,0,2,2,0,1,0,0,0.8851716902739983,0.7949827074799691,0
1,1,1,1,2,1,0,2,2,0,2,2,0,1,0,0,1.823999030562955,0.5174618263521364,1
1,0,0,1,0,2,1,1,1,1,1,1,0,0,1,0,-1.8627842018019294,-0.569181509634958,0
0,0,0,1,0,1,0,0,2,0,2,2,0,1,2,1,-0.5890711627536762,1.363415616841838,1
1,1,1,1,0,2,1,1,1,1,1,1,1,0,3,0,-1.4983530534791614,-0.9063835428552279,0
1,0,0,1,0,1,0,0,2,0,0,0,0,1,2,0,-0.9599765354030192,0.9419719337406199,0
1,1,0,1,2,1,0,2,2,0,0,0,0,0,2,0,-0.007522941748471911,0.7522092821959477,0
0,1,1,1,2,0,2,2,2,2,2,2,2,0,1,0,2.601553513409457,-0.41054341516059034,0
0,0,0,1,0,1,0,0,0,2,2,0,0,0,2,0,0.340507333452977,0.586807871345005,1
0,1,0,0,1,0,2,2,2,0,0,2,1,1,1,1,-0.4827627535986352,-0.32599368368447557,0
1,0,0,1,2,1,0,2,2,0,2,2,0,0,3,0,-0.5701948901379322,1.9155299204110632,0
0,0,0,1,0,2,1,1,1,1,1,1,0,1,3,1,-1.458003520550106,-0.9146349743802572,0
1,0,0,1,0,0,2,2,0,0,2,2,1,1,1,0,1.5305970541768081,-0.5483525603749995,0
1,1,1,0,1,0,2,2,2,0,0,0,0,0,0,0,-0.5471935266741849,-0.7392714243455683,1
0,0,0,1,0,2,1,1,1,1,1,1,2,1,1,0,-0.4035004356851926,-1.9014424011400566,0
1,0,0,1,0,1,2,0,0,0,0,0,0,1,2,0,-0.8021581037220559,0.7980177049223152,1
0,0,0,0,1,0,0,2,0,2,0,0,0,0,2,0,-1.5490640698302323,-0.14626730258376655,0
0,0,0,1,2,1,0,2,2,0,2,2,0,1,0,0,1.0619039566786517,0.8276473196099073,1
1,0,0,1,2,2,1,1,1,1,1,1,2,1,1,1,0.11756790618862582,-2.011579495351888,0
1,0,0,1,2,1,2,0,2,0,0,0,0,1,2,0,-0.18424736291387833,0.872882879079088,0
0,0,0,1,0,2,1,1,1,1,1,1,0,1,3,0,-2.129604320498991,-0.3522531033176685,1
0,1,0,1,2,0,0,0,0,2,2,2,0,1,1,0,-0.27379026332028467,0.48206829876750473,0
0,1,0,1,2,1,2,0,2,2,2,2,1,1,3,1,1.6994616250425127,0.8456995942163058,1
1,0,0,1,2,1,0,2,2,0,2,0,1,1,1,0,1.4131812381059627,0.3969966510353467,0
1,0,1,1,0,2,1,1,1,1,1,1,0,0,3,0,-1.8837028732567187,-0.5335251938992496,0
0,1,1,1,0,2,1,1,1,1,1,1,2,1,3,0,-1.4577373044108137,-0.9313519193843577,0
0,0,0,1,2,1,0,0,0,2,2,2,0,1,1,1,-0.4068596748064673,1.5704293129199114,0
0,1,1,1,2,1,0,0,0,0,0,2,0,0,2,0,-0.6046184262775149,1.1485992033254664,0
1,1,1,1,0,0,2,0,2,2,0,2,2,1,1,0,1.7633307324241716,-0.8692202554569392,0
0,1,1,0,1,0,0,2,0,0,0,0,0,1,2,0,-1.817937973923823,-0.16832033458511358,0
1,1,0,1,2,1,2,0,2,0,0,0,0,1,0,1,0.7817715173918712,0.2584182633306424,1
1,1,1,1,2,0,2,2,2,2,0,0,2,0,1,0,1.2578848295469676,-0.5077801653742913,0
0,0,0,1,0,0,0,0,2,0,2,2,1,1,2,0,-1.2112972039940182,0.9179598560426063,0
1,1,1,1,0,2,1,1,1,1,1,1,2,1,1,0,-0.237795640927259,-2.0242007008746494,0
0,0,0,0,1,0,2,0,0,0,0,0,0,1,0,0,-1.5610816727955579,-0.36313002769664693,0
1,1,1,1,0,2,1,1,1,1,1,1,1,1,2,0,-2.1197359771048436,-0.33647835285688454,0
1,1,1,1,0,1,2,2,2,2,2,0,2,0,1,0,2.8904195014175547,-0.15747742614292878,0
1,0,0,1,0,0,0,0,0,0,0,2,0,1,1,0,-1.2777199808040793,0.3883490900240719,0
1,0,0,1,0,1,0,2,0,2,2,0,1,1,0,0,0.3717191481587919,0.7987769591538072,0
0,1,0,1,2,2,1,1,1,1,1,1,2,0,3,0,0.039852370497316734,-2.0165463988336585,0
1,0,0,1,2,1,2,2,2,2,2,2,1,1,0,0,3.264990264195332,0.4029718432319724,1
1,1,1,1,2,0,2,2,2,2,2,2,2,1,1,0,2.060396042785162,-0.20010365795103702,0
1,0,0,1,0,1,0,0,0,0,2,0,0,1,2,0,-0.9360299625441261,1.1434883298064056,1
0,0,0,1,2,0,2,2,2,2,2,0,0,1,1,0,0.5243267172650414,0.23775756935070053,0
0,1,0,1,2,1,0,2,2,2,2,2,1,1,0,0,2.2530520666810983,0.6309947819412273,0
0,0,1,1,0,0,0,0,0,0,0,0,0,1,2,0,-1.3376090015003783,0.019815926685288154,1
0,0,0,1,0,2,1,1,1,1,1,1,1,0,0,0,-0.1468640212648064,-2.092058602895803,0
1,0,0,1,2,1,0,0,0,0,0,0,0,1,2,0,-1.1367489010975,1.0348296624607665,1
1,1,0,1,2,1,0,2,2,0,0,0,0,1,2,0,-0.4701348621259648,0.953955763116489,0
0,0,0,0,1,0,2,2,2,2,0,0,1,0,1,0,0.4285694497750349,-1.2746172862483909,0
1,0,0,1,0,1,0,0,0,0,2,2,0,1,2,0,-0.8454420528699285,1.3760394736773525,1
0,0,0,1,0,1,0,0,0,0,2,2,0,0,2,0,-0.9618503521915985,1.5144257012084232,1
0,0,0,0,1,0,0,0,0,2,0,0,0,1,2,1,-1.6798125769797216,-0.31772596153446236,1
1,0,1,1,0,0,0,2,0,2,0,0,0,1,0,0,-0.6749566709317997,0.008861155060970198,0
1,0,1,1,0,2,1,1,1,1,1,1,2,0,3,0,-1.3482046805458618,-0.9842469331016481,0
